HipCenter, Tracked, -0.1238706, 0.1115889, 1.957845
Spine, Tracked, -0.1288306, 0.1707733, 2.011527
ShoulderCenter, Tracked, -0.1477112, 0.5120459, 2.008197
Head, Tracked, -0.1684607, 0.6791598, 1.982218
ShoulderLeft, Tracked, -0.2969139, 0.3775344, 2.000021
ElbowLeft, Tracked, -0.3540899, 0.1824219, 1.958975
WristLeft, Tracked, -0.3874523, 0.01344885, 1.836814
HandLeft, Tracked, -0.3877602, -0.03268553, 1.806994
ShoulderRight, Tracked, 0.004098448, 0.4081916, 2.011466
ElbowRight, Tracked, 0.08721089, 0.1667456, 2.044245
WristRight, Tracked, 0.1416913, -0.02951929, 2.021734
HandRight, Tracked, 0.1492396, -0.06990465, 2.005272
HipLeft, Tracked, -0.1885168, 0.03630211, 1.93912
KneeLeft, Tracked, -0.1357819, -0.3367175, 1.931763
AnkleLeft, Tracked, -0.1516254, -0.7038755, 2.048477
FootLeft, Tracked, -0.1494578, -0.7340177, 1.980393
HipRight, Tracked, -0.05111861, 0.05166756, 1.954221
KneeRight, Tracked, -0.0504916, -0.3096641, 1.852556
AnkleRight, Tracked, -0.03335875, -0.6089863, 1.717807
FootRight, Tracked, -0.05875547, -0.6565312, 1.683577
HipCenter, Tracked, 0.7288779, -0.4060233, 3.895615
Spine, Tracked, 0.7286688, -0.3772806, 3.898585
ShoulderCenter, Tracked, 0.7293993, -0.2320405, 3.925313
Head, Tracked, 0.6220978, -0.161974, 3.880434
ShoulderLeft, Inferred, 0.7876084, -0.2279961, 3.929075
ElbowLeft, Inferred, 0.6508682, -0.2807716, 3.8564
WristLeft, Inferred, 0.5519736, -0.2312635, 3.812591
HandLeft, Inferred, 0.5145746, -0.1887742, 3.806799
ShoulderRight, Inferred, 0.8170271, -0.1970722, 3.898567
ElbowRight, Inferred, 0.8606752, -0.31851, 3.793046
WristRight, Inferred, 0.8664834, -0.4349656, 3.709598
HandRight, Inferred, 0.8684195, -0.4737841, 3.684423
HipLeft, Tracked, 0.7297231, -0.4554469, 3.928616
KneeLeft, Tracked, 0.618935, -0.1746247, 3.881547
AnkleLeft, Inferred, 0.5984928, -0.4147431, 3.891639
FootLeft, Tracked, 0.6102182, -0.4597351, 3.838416
HipRight, Tracked, 0.7298731, -0.443226, 3.844055
KneeRight, Tracked, 0.9269589, -0.3327361, 3.744274
AnkleRight, Inferred, 0.8049309, -0.5416496, 3.714681
FootRight, Tracked, 0.759796, -0.5817755, 3.677977
HipCenter, Tracked, 0.7360689, -0.4570882, 3.879333
Spine, Tracked, 0.7353808, -0.4458038, 3.905017
ShoulderCenter, Tracked, 0.7004789, -0.3320717, 3.922853
Head, Tracked, 0.6894013, -0.24578, 3.845841
ShoulderLeft, Inferred, 0.5693712, -0.3880944, 3.923804
ElbowLeft, Inferred, 0.6288099, -0.3002467, 3.861684
WristLeft, Inferred, 0.6095895, -0.185876, 3.857531
HandLeft, Inferred, 0.5706295, -0.1729296, 3.847921
ShoulderRight, Inferred, 0.7881066, -0.2971033, 3.896106
ElbowRight, Tracked, 0.8756589, -0.3539027, 3.763757
WristRight, Tracked, 0.7582095, -0.3703661, 3.858918
HandRight, Inferred, 0.7351078, -0.3271073, 3.906756
HipLeft, Tracked, 0.6933179, -0.5083883, 3.883274
KneeLeft, Tracked, 0.6319371, -0.1881149, 3.881674
AnkleLeft, Tracked, 0.6860679, -0.3951247, 3.76304
FootLeft, Tracked, 0.6786664, -0.4003005, 3.703122
HipRight, Tracked, 0.7804841, -0.5039625, 3.846203
KneeRight, Tracked, 0.7361283, -0.666707, 3.636483
AnkleRight, Inferred, 0.8896611, -0.7432364, 3.583442
FootRight, Tracked, 0.8239728, -0.7200588, 3.585383
HipCenter, Tracked, 0.7715425, -0.4456225, 3.837655
Spine, Tracked, 0.7992673, -0.4347701, 3.83904
ShoulderCenter, Tracked, 0.8620062, -0.3355902, 3.797012
Head, Tracked, 0.7646789, -0.2297642, 3.807962
