HipCenter, 1.377055, 0.5413088, 2.742718
KneeLeft, 1.513449, 0.02740842, 3.045811
FootLeft, 1.640124, -0.3865324, 3.13687
KneeRight, 1.572694, 0.07050905, 3.009831
FootRight, 1.762161, -0.632349, 3.283825
HipCenter, 1.441156, 0.497143, 2.776948
KneeLeft, 1.635532, -0.007928789, 3.073411
FootLeft, 1.631317, -0.05859196, 3.074654
KneeRight, 1.59558, 0.05732462, 3.034194
FootRight, 1.870985, -0.5481997, 3.477129
HipCenter, 1.454493, 0.5701431, 2.811184
KneeLeft, 1.606357, 0.1916116, 3.054805
FootLeft, 1.520087, 0.3019383, 2.971282
KneeRight, 1.611652, 0.1988441, 3.046006
FootRight, 1.879347, -0.448675, 3.44172
HipCenter, 1.482748, 0.5247857, 2.922726
KneeLeft, 1.543026, 0.1443688, 3.121757
FootLeft, 1.651146, -0.2653663, 3.235856
KneeRight, 1.645738, 0.1689743, 3.123416
FootRight, 1.769387, -0.227451, 3.229218
HipCenter, 1.483001, 0.5227804, 2.917021
KneeLeft, 1.556235, 0.08753283, 3.148869
FootLeft, 1.670532, -0.2924586, 3.249657
KneeRight, 1.681129, 0.05924356, 3.182216
FootRight, 1.786862, -0.274179, 3.250042
HipCenter, 1.481924, 0.5235195, 2.915266
KneeLeft, 1.569888, 0.08849437, 3.147804
FootLeft, 1.67013, -0.2921771, 3.249155
KneeRight, 1.680915, 0.05947787, 3.181215
FootRight, 1.790608, -0.2753461, 3.251516
HipCenter, 1.493675, 0.5050008, 2.92378
KneeLeft, 1.587498, 0.129065, 3.137826
FootLeft, 1.720404, -0.2319546, 3.235447
KneeRight, 1.681557, 0.0438904, 3.182928
FootRight, 1.787059, -0.2786039, 3.254738
HipCenter, 1.507068, 0.5186387, 2.961789
KneeLeft, 1.614334, 0.139258, 3.180344
FootLeft, 1.747763, -0.2624717, 3.293132
KneeRight, 1.652466, 0.1071328, 3.193958
FootRight, 1.781982, -0.2818904, 3.303296
HipCenter, 1.498819, 0.4916922, 2.929164
KneeLeft, 1.554457, 0.08812992, 3.140677
FootLeft, 1.692585, -0.2816774, 3.309491
KneeRight, 1.658634, 0.07137484, 3.160572
FootRight, 1.793803, -0.2908542, 3.265187
HipCenter, 1.459311, 0.4964518, 2.919537
KneeLeft, 1.456586, 0.1054707, 3.11263
FootLeft, 1.712375, -0.2617823, 3.241454
KneeRight, 1.645733, 0.09164332, 3.150774
FootRight, 1.791593, -0.2852012, 3.264204
HipCenter, 1.325961, 0.622084, 2.828735
KneeLeft, 1.19104, 0.1423305, 3.051752
FootLeft, 1.24756, -0.2319893, 3.226907
KneeRight, 1.589822, 0.1494589, 3.108434
FootRight, 1.767835, -0.251364, 3.322556
HipCenter, 1.326156, 0.6012844, 2.844674
KneeLeft, 1.231831, 0.1635233, 3.050315
FootLeft, 1.06937, -0.2537155, 3.216015
KneeRight, 1.592218, 0.1318537, 3.12339
FootRight, 1.775579, -0.2574015, 3.330083
HipCenter, 1.374534, 0.5622018, 2.871677
KneeLeft, 1.237209, 0.1451535, 3.062675
FootLeft, 1.107904, -0.259018, 3.198102
KneeRight, 1.596908, 0.1306943, 3.124353
FootRight, 1.775342, -0.257322, 3.33048
HipCenter, 1.380051, 0.5664107, 2.8704
KneeLeft, 1.261153, 0.1531284, 3.060773
FootLeft, 1.12644, -0.2795589, 3.21952
KneeRight, 1.608967, 0.1099839, 3.135278
FootRight, 1.777459, -0.2575778, 3.330664
HipCenter, 1.395437, 0.5592934, 2.877323
KneeLeft, 1.275658, 0.1528373, 3.059888
FootLeft, 1.240592, -0.225543, 3.232203
KneeRight, 1.624209, 0.09559476, 3.145136
FootRight, 1.776906, -0.2575843, 3.330751
HipCenter, 1.410075, 0.549884, 2.884143
KneeLeft, 1.346795, 0.1163285, 3.084777
FootLeft, 1.380428, -0.2671202, 3.290631
KneeRight, 1.644112, 0.08002691, 3.154388
FootRight, 1.775562, -0.2569476, 3.330266
HipCenter, 1.449782, 0.4981888, 2.919863
KneeLeft, 1.447108, -0.01710273, 3.183776
FootLeft, 1.412601, -0.2400958, 3.271677
KneeRight, 1.649434, 0.0577869, 3.167297
FootRight, 1.789232, -0.2616053, 3.332631
